,Method,Slice,Violation_gap
150,NVS,Critical Slice,0.0
151,NVS,Performance Slice,69.43006365464319
152,NVS,Business Slice,84.45146866331199
153,Proposed_HSRS,Critical Slice,0.0
154,Proposed_HSRS,Performance Slice,0.0
155,Proposed_HSRS,Business Slice,89.975288979424
156,Optimal ILP,Critical Slice,0.0
157,Optimal ILP,Performance Slice,0.0
158,Optimal ILP,Business Slice,10.532246752192
159,BestCQI,Critical Slice,100.0
160,BestCQI,Performance Slice,100.0
161,BestCQI,Business Slice,87.68251566112001
162,NVS,Critical Slice,0.0
163,NVS,Performance Slice,71.999662929952
164,NVS,Business Slice,82.82783234512
165,Proposed_HSRS,Critical Slice,0.0
166,Proposed_HSRS,Performance Slice,0.0
167,Proposed_HSRS,Business Slice,90.859946723296
168,Optimal ILP,Critical Slice,0.0
169,Optimal ILP,Performance Slice,0.0
170,Optimal ILP,Business Slice,10.957948307467998
171,BestCQI,Critical Slice,100.0
172,BestCQI,Performance Slice,100.0
173,BestCQI,Business Slice,78.84769537871999
174,NVS,Critical Slice,0.0
175,NVS,Performance Slice,61.6631349364288
176,NVS,Business Slice,72.70999954706801
177,Proposed_HSRS,Critical Slice,0.0
178,Proposed_HSRS,Performance Slice,0.0
179,Proposed_HSRS,Business Slice,89.364352958848
180,Optimal ILP,Critical Slice,0.0
181,Optimal ILP,Performance Slice,0.0
182,Optimal ILP,Business Slice,10.849002219135997
183,BestCQI,Critical Slice,100.0
184,BestCQI,Performance Slice,86.92907500000001
185,BestCQI,Business Slice,100.0
186,NVS,Critical Slice,0.0
187,NVS,Performance Slice,69.9707348324032
188,NVS,Business Slice,71.14068432443199
189,Proposed_HSRS,Critical Slice,0.0
190,Proposed_HSRS,Performance Slice,0.0
191,Proposed_HSRS,Business Slice,90.030315545536
192,Optimal ILP,Critical Slice,0.0
193,Optimal ILP,Performance Slice,0.0
194,Optimal ILP,Business Slice,12.29098035136
195,BestCQI,Critical Slice,100.0
196,BestCQI,Performance Slice,77.25380627408
197,BestCQI,Business Slice,83.50708130297599
198,NVS,Critical Slice,0.0
199,NVS,Performance Slice,59.69233744798721
200,NVS,Business Slice,71.65638197526401
201,Proposed_HSRS,Critical Slice,0.0
202,Proposed_HSRS,Performance Slice,0.0
203,Proposed_HSRS,Business Slice,82.741412413312
204,Optimal ILP,Critical Slice,0.0
205,Optimal ILP,Performance Slice,0.0
206,Optimal ILP,Business Slice,6.193565060095998
207,BestCQI,Critical Slice,100.0
208,BestCQI,Performance Slice,73.01158758668801
209,BestCQI,Business Slice,100.0
210,NVS,Critical Slice,0.0
211,NVS,Performance Slice,59.99089180420481
212,NVS,Business Slice,70.126220301664
