,Proposed_HSRS_Time_Taken,BestCQI_Time_Taken,NVS_Time_Taken
0,0.041380882263183594,0.03021860122680664,0.021152734756469727
1,0.04647326469421387,0.038197994232177734,0.026234865188598633
2,0.048586130142211914,0.03273725509643555,0.020560741424560547
3,0.04053997993469238,0.03061699867248535,0.02061748504638672
4,0.04881405830383301,0.04056835174560547,0.024457693099975586
5,0.042755842208862305,0.03250694274902344,0.02197885513305664
6,0.04079580307006836,0.03086543083190918,0.020898818969726562
7,0.04468202590942383,0.03576517105102539,0.023655414581298828
8,0.04689216613769531,0.03430771827697754,0.021497726440429688
9,0.04140329360961914,0.032485008239746094,0.020708084106445312
10,0.046704769134521484,0.035158395767211914,0.025112390518188477
11,0.04994034767150879,0.03431892395019531,0.021991252899169922
12,0.04072999954223633,0.031145334243774414,0.02139139175415039
13,0.044542789459228516,0.03437471389770508,0.023771286010742188
14,0.04873251914978027,0.033985137939453125,0.022532224655151367
15,0.04227757453918457,0.03175783157348633,0.024123430252075195
16,0.042120933532714844,0.04361152648925781,0.025072574615478516
17,0.04819917678833008,0.033597707748413086,0.02243828773498535
18,0.04335594177246094,0.03245687484741211,0.02208399772644043
19,0.04176950454711914,0.035454511642456055,0.025124549865722656
20,0.04541015625,0.032799720764160156,0.021706342697143555
21,0.03927803039550781,0.031052589416503906,0.019123315811157227
22,0.04027104377746582,0.03155040740966797,0.02262568473815918
23,0.04640507698059082,0.033699750900268555,0.020743608474731445
24,0.04008960723876953,0.02919602394104004,0.020099163055419922
