,TimeStamp,SNR,RAT
0,1615696874.877,14.350000000000001,NR
1,1615696874.894,14.350000000000001,NR
2,1615696876.157,15.739999999999998,NR
3,1615696876.174,15.739999999999998,NR
4,1615696877.437,13.725,NR
5,1615696877.454,13.725,NR
6,1615696878.717,16.2,NR
7,1615696878.734,16.2,NR
8,1615696879.997,15.985,NR
9,1615696880.014,15.985,NR
10,1615696881.278,0.04499999999999993,NR
11,1615696881.294,0.04499999999999993,NR
12,1615696882.557,-0.5900000000000001,NR
13,1615696882.574,-0.5900000000000001,NR
14,1615696883.838,-6.605,NR
15,1615696883.928,-6.605,NR
16,1615696883.971,-6.605,NR
17,1615696885.143,-6.99,NR
18,1615696885.197,20.28,NR
19,1615696885.217,20.28,NR
20,1615696885.235,20.28,NR
21,1615696885.29,22.52,NR
22,1615696885.559,27.0,NR
23,1615696885.639,28.355,NR
24,1615696885.958,28.355,NR
25,1615696886.201,28.72,NR
26,1615696886.398,26.95,NR
27,1615696886.414,26.95,NR
28,1615696887.677,24.869999999999997,NR
29,1615696887.694,24.869999999999997,NR
30,1615696888.957,7.215,NR
31,1615696888.974,7.215,NR
32,1615696890.238,6.93,NR
33,1615696890.254,6.93,NR
34,1615696891.517,13.490000000000002,NR
35,1615696891.534,13.490000000000002,NR
36,1615696892.798,20.045,NR
37,1615696892.814,20.045,NR
38,1615696894.077,20.549999999999997,NR
39,1615696894.094,20.549999999999997,NR
40,1615697151.358,-7.405,NR
41,1615697151.374,-7.405,NR
42,1615697152.436,-7.405,NR
43,1615697152.529,-7.405,NR
44,1615697152.609,-7.405,NR
45,1615697152.689,-9.315,NR
46,1615697152.769,-6.875,NR
47,1615697152.849,-9.015,NR
48,1615697152.929,-10.165,NR
49,1615697153.009,-9.24,NR
50,1615697153.089,-5.455,NR
51,1615697153.169,-7.4,NR
52,1615697153.249,-8.325,NR
53,1615697153.329,-9.82,NR
54,1615697153.409,-8.95,NR
55,1615697153.414,-8.95,NR
56,1615697153.437,-8.95,NR
57,1615697161.742,30.0,LTE
58,1615697161.751,30.0,LTE
59,1615697161.761,30.0,LTE
60,1615697161.771,28.25,LTE
61,1615697161.781,28.3,LTE
62,1615697161.791,28.6,LTE
63,1615697161.801,30.0,LTE
64,1615697161.811,30.0,LTE
65,1615697161.821,30.0,LTE
66,1615697161.841,30.0,LTE
67,1615697161.851,30.0,LTE
68,1615697161.861,30.0,LTE
69,1615697161.871,30.0,LTE
70,1615697161.881,30.0,LTE
71,1615697161.891,30.0,LTE
72,1615697161.901,30.0,LTE
73,1615697161.911,30.0,LTE
74,1615697161.921,30.0,LTE
75,1615697161.931,30.0,LTE
76,1615697161.94,30.0,LTE
77,1615697161.951,30.0,LTE
78,1615697161.961,30.0,LTE
79,1615697161.971,30.0,LTE
80,1615697161.981,30.0,LTE
81,1615697161.991,30.0,LTE
82,1615697162.001,30.0,LTE
83,1615697162.011,30.0,LTE
84,1615697162.021,30.0,LTE
85,1615697162.031,30.0,LTE
86,1615697162.041,30.0,LTE
87,1615697162.051,30.0,LTE
88,1615697162.061,30.0,LTE
89,1615697162.071,30.0,LTE
90,1615697162.081,30.0,LTE
91,1615697162.091,30.0,LTE
92,1615697162.101,30.0,LTE
93,1615697162.111,30.0,LTE
94,1615697162.121,30.0,LTE
95,1615697162.131,30.0,LTE
96,1615697162.14,30.0,LTE
97,1615697162.151,30.0,LTE
98,1615697162.161,30.0,LTE
99,1615697162.171,30.0,LTE
100,1615697162.181,30.0,LTE
101,1615697162.191,30.0,LTE
102,1615697162.201,30.0,LTE
103,1615697162.211,30.0,LTE
104,1615697162.221,30.0,LTE
105,1615697162.231,30.0,LTE
106,1615697162.241,30.0,LTE
107,1615697162.251,30.0,LTE
108,1615697162.26,30.0,LTE
109,1615697162.271,30.0,LTE
110,1615697162.281,30.0,LTE
111,1615697162.291,30.0,LTE
112,1615697162.301,30.0,LTE
113,1615697162.311,30.0,LTE
114,1615697162.321,30.0,LTE
115,1615697162.331,30.0,LTE
116,1615697162.341,30.0,LTE
117,1615697162.351,30.0,LTE
118,1615697162.361,30.0,LTE
119,1615697162.371,30.0,LTE
120,1615697162.381,30.0,LTE
121,1615697162.391,30.0,LTE
122,1615697162.401,30.0,LTE
123,1615697162.411,30.0,LTE
124,1615697162.421,30.0,LTE
125,1615697162.431,30.0,LTE
126,1615697162.441,30.0,LTE
127,1615697162.45,30.0,LTE
128,1615697162.46,30.0,LTE
129,1615697162.471,30.0,LTE
130,1615697162.481,30.0,LTE
