,TimeStamp,SNR,RAT
0,1622327857.809,10.157499999999999,NR
1,1622327857.889,9.462499999999999,NR
2,1622327857.969,11.5625,NR
3,1622327858.049,8.5875,NR
4,1622327858.129,9.0875,NR
5,1622327858.209,8.555,NR
6,1622327858.289,10.190000000000001,NR
7,1622327858.369,9.14,NR
8,1622327858.449,10.0075,NR
9,1622327858.529,8.79,NR
10,1622327858.609,9.6825,NR
11,1622327858.689,10.2825,NR
12,1622327858.769,8.55,NR
13,1622327858.849,8.32,NR
14,1622327858.929,10.175,NR
15,1622327859.009,9.885,NR
16,1622327859.089,10.620000000000001,NR
17,1622327859.169,8.852500000000001,NR
18,1622327859.249,7.59,NR
19,1622327859.329,8.350000000000001,NR
20,1622327859.409,9.2475,NR
21,1622327859.489,8.467500000000001,NR
22,1622327859.569,10.065,NR
23,1622327859.649,9.155,NR
24,1622327859.729,8.405,NR
25,1622327859.809,8.2875,NR
26,1622327859.889,10.6225,NR
27,1622327859.969,10.907500000000002,NR
28,1622327860.049,10.8975,NR
29,1622327860.129,10.685,NR
30,1622327860.209,11.695,NR
31,1622327860.289,9.4325,NR
32,1622327860.369,10.155000000000001,NR
33,1622327860.449,10.78,NR
34,1622327860.529,9.632499999999999,NR
35,1622327860.609,10.845,NR
36,1622327860.689,12.287499999999998,NR
37,1622327860.769,9.645,NR
38,1622327860.849,17.4225,NR
39,1622327860.929,9.11,NR
40,1622327861.009,5.695,NR
41,1622327861.089,-0.635,NR
42,1622327861.169,0.9924999999999999,NR
43,1622327861.249,2.92,NR
44,1622327861.329,7.36,NR
45,1622327861.409,8.895,NR
46,1622327861.489,10.785,NR
47,1622327861.569,10.7275,NR
48,1622327861.649,14.3075,NR
49,1622327861.729,16.509999999999998,NR
50,1622327861.751,16.9425,NR
51,1622327861.809,-8.8425,NR
52,1622327861.9,6.2475000000000005,NR
53,1622327861.932,6.2475000000000005,NR
54,1622327861.969,6.2475000000000005,NR
55,1622327862.269,14.350000000000001,LTE
56,1622327862.275,13.3,LTE
57,1622327862.285,13.1,LTE
58,1622327862.295,11.6,LTE
59,1622327862.305,10.4,LTE
60,1622327862.315,9.399999999999999,LTE
61,1622327862.325,9.899999999999999,LTE
62,1622327862.335,11.25,LTE
63,1622327862.345,11.350000000000001,LTE
64,1622327862.355,11.7,LTE
65,1622327862.365,13.4,LTE
66,1622327862.375,11.9,LTE
67,1622327862.385,12.2,LTE
68,1622327862.395,12.7,LTE
69,1622327862.405,14.149999999999999,LTE
70,1622327862.415,13.65,LTE
71,1622327862.425,13.8,LTE
72,1622327862.435,13.4,LTE
73,1622327862.445,13.85,LTE
74,1622327862.455,14.7,LTE
75,1622327862.465,13.95,LTE
76,1622327862.475,14.95,LTE
77,1622327862.485,16.25,LTE
78,1622327862.495,16.0,LTE
79,1622327862.505,14.4,LTE
80,1622327862.515,14.600000000000001,LTE
81,1622327862.525,15.1,LTE
82,1622327862.535,14.399999999999999,LTE
83,1622327862.545,13.45,LTE
84,1622327862.555,14.899999999999999,LTE
85,1622327862.565,17.0,LTE
86,1622327862.575,17.4,LTE
87,1622327862.585,18.6,LTE
