,TimeStamp,SNR,RAT
0,1622185980.181,11.600000000000001,NR
1,1622185981.461,9.245000000000001,NR
2,1622185982.493,11.49,NR
3,1622185982.587,20.450000000000003,NR
4,1622185982.655,20.3825,NR
5,1622185982.742,22.525,NR
6,1622185982.822,19.572499999999998,NR
7,1622185982.902,22.3475,NR
8,1622185982.982,20.097499999999997,NR
9,1622185983.062,19.2025,NR
10,1622185983.142,19.387500000000003,NR
11,1622185983.222,21.71,NR
12,1622185983.302,21.487499999999997,NR
13,1622185983.382,20.770000000000003,NR
14,1622185983.462,20.15,NR
15,1622185983.542,21.8975,NR
16,1622185983.622,21.7275,NR
17,1622185983.702,21.46,NR
18,1622185983.782,21.619999999999997,NR
19,1622185983.862,20.400000000000002,NR
20,1622185983.942,19.5075,NR
21,1622185984.022,20.685,NR
22,1622185984.102,21.695,NR
23,1622185984.182,20.505000000000003,NR
24,1622185984.262,20.265,NR
25,1622185984.342,20.6225,NR
26,1622185984.422,20.3175,NR
27,1622185984.502,20.6075,NR
28,1622185984.582,20.265,NR
29,1622185984.662,19.5025,NR
30,1622185984.742,20.095,NR
31,1622185984.822,18.535,NR
32,1622185984.902,18.9375,NR
33,1622185984.982,18.3725,NR
34,1622185985.062,18.4575,NR
35,1622185985.142,17.2025,NR
36,1622185985.222,18.6925,NR
37,1622185985.302,15.59,NR
38,1622185985.382,16.535,NR
39,1622185985.462,15.7375,NR
40,1622185985.542,16.9925,NR
41,1622185985.622,17.127499999999998,NR
42,1622185985.702,17.554999999999996,NR
43,1622185985.782,16.3175,NR
44,1622185985.862,16.335,NR
45,1622185985.942,14.927499999999998,NR
46,1622185986.022,13.49,NR
47,1622185986.102,13.3325,NR
48,1622185986.182,14.55,NR
49,1622185986.262,14.87,NR
50,1622185986.342,16.0375,NR
51,1622185986.422,14.1825,NR
52,1622185986.502,14.6375,NR
53,1622185986.582,14.845,NR
54,1622185986.662,14.715,NR
55,1622185986.742,13.242500000000001,NR
56,1622185986.822,13.3325,NR
57,1622185986.902,13.84,NR
58,1622185986.982,14.11,NR
59,1622185987.062,14.8625,NR
60,1622185987.142,14.754999999999999,NR
61,1622185987.222,14.42,NR
62,1622185987.302,13.897499999999999,NR
63,1622185987.382,13.1125,NR
64,1622185987.462,12.375,NR
65,1622185987.542,12.407499999999999,NR
66,1622185987.622,12.432500000000001,NR
67,1622185987.702,11.735,NR
68,1622185987.782,10.604999999999999,NR
69,1622185987.862,11.345,NR
70,1622185987.942,10.2475,NR
71,1622185988.022,12.8375,NR
72,1622185988.102,12.2325,NR
73,1622185988.182,11.065000000000001,NR
74,1622185988.262,10.3,NR
75,1622185988.342,10.997499999999999,NR
76,1622185988.422,10.127500000000001,NR
77,1622185988.502,10.505,NR
78,1622185988.582,12.4025,NR
79,1622185988.615,12.73,NR
80,1622185988.638,12.73,NR
81,1622185988.727,15.5125,NR
82,1622185988.807,16.7325,NR
83,1622185988.887,16.155,NR
84,1622185988.967,16.9525,NR
85,1622185989.047,16.6025,NR
86,1622185989.127,15.725000000000001,NR
87,1622185989.207,16.215,NR
88,1622185989.287,15.095000000000002,NR
89,1622185989.367,13.875,NR
90,1622185989.447,14.247499999999999,NR
91,1622185989.527,14.1275,NR
92,1622185989.607,13.3175,NR
93,1622185989.687,14.5475,NR
94,1622185989.767,15.625,NR
95,1622185989.847,17.4825,NR
96,1622185989.927,17.355,NR
97,1622185990.007,16.9825,NR
98,1622185990.087,17.3875,NR
99,1622185990.167,18.72,NR
100,1622185990.247,18.675,NR
101,1622185990.327,18.822499999999998,NR
102,1622185990.407,17.435,NR
103,1622185990.487,14.5125,NR
104,1622185990.567,15.5525,NR
105,1622185990.647,14.6325,NR
106,1622185990.727,18.005000000000003,NR
107,1622185990.807,17.615000000000002,NR
108,1622185990.887,17.07,NR
109,1622185990.967,17.145,NR
110,1622185991.047,16.447499999999998,NR
111,1622185991.127,16.125,NR
112,1622185991.207,16.5925,NR
113,1622185991.287,16.2325,NR
