,TimeStamp,SNR,RAT
0,315936963.814,2.8699999999999997,NR
1,315936965.077,-12.28,NR
2,315936965.094,-12.28,NR
3,315936966.385,-10.57,NR
4,315936966.44,16.145,NR
5,315936966.462,16.145,NR
6,315936966.485,16.145,NR
7,315936966.682,13.425,NR
8,315936966.698,12.34,NR
9,315936966.938,19.905,NR
10,315936967.257,19.905,NR
11,315936967.638,20.015,NR
12,315936967.654,20.015,NR
13,315936968.916,25.555,NR
14,315936968.934,25.555,NR
15,315936970.196,19.155,NR
16,315936970.214,19.155,NR
17,315936971.476,11.915,NR
18,315936971.494,11.915,NR
19,315936972.758,13.115,NR
20,315936972.774,13.115,NR
21,315936974.036,20.365,NR
22,315936974.054,20.365,NR
23,315936975.318,16.560000000000002,NR
24,315936975.334,16.560000000000002,NR
25,315936976.596,22.17,NR
26,315936976.614,22.17,NR
27,315936977.878,26.4,NR
28,315936977.894,26.4,NR
29,315936979.156,22.085,NR
30,315936979.174,22.085,NR
31,315936980.438,16.095,NR
32,315936980.454,16.095,NR
33,315936981.716,2.46,NR
34,315936981.734,2.46,NR
35,315936982.998,0.5700000000000001,NR
36,315936983.014,0.5700000000000001,NR
37,315936984.278,-4.785,NR
38,315936984.294,-4.785,NR
39,315936985.558,-13.515,NR
40,315936985.574,-13.515,NR
41,315937105.366,16.549999999999997,LTE
42,315937106.006,15.2,LTE
43,315937106.646,17.25,LTE
44,315937107.286,14.1,LTE
45,315937107.372,15.3,LTE
46,315937107.38,15.2,LTE
47,315937107.389,14.350000000000001,LTE
48,315937107.399,16.3,LTE
49,315937107.409,15.65,LTE
50,315937107.419,15.55,LTE
51,315937107.429,16.85,LTE
52,315937107.439,16.5,LTE
53,315937107.449,16.35,LTE
54,315937107.46,16.6,LTE
55,315937107.48,18.7,LTE
56,315937107.489,16.0,LTE
57,315937107.499,16.05,LTE
58,315937107.51,-2.0500000000000007,LTE
59,315937107.538,17.049999999999997,LTE
60,315937107.579,18.175,LTE
61,315937107.587,18.225,LTE
62,315937107.603,19.0,LTE
63,315937107.623,20.6,LTE
64,315937107.644,18.7,LTE
65,315937107.651,16.9,LTE
66,315937107.661,18.9,LTE
67,315937107.683,14.149999999999999,LTE
68,315937107.691,14.600000000000001,LTE
69,315937107.701,18.15,LTE
70,315937107.723,18.45,LTE
71,315937107.731,16.2,LTE
72,315937107.741,16.85,LTE
73,315937107.763,16.95,LTE
74,315937107.771,15.2,LTE
75,315937107.781,17.950000000000003,LTE
76,315937107.817,19.1,LTE
77,315937107.844,19.549999999999997,LTE
78,315937107.851,19.65,LTE
