RDB0,RDB1,RDB2,RDB3,RDB4,RDB5,RDB6
1,11.0,11.0,11.0,8.0,13.0,7.0
3,10.0,11.0,9.0,9.0,13.0,7.0
3,11.0,12.0,10.0,9.0,12.0,4.0
1,11.0,11.0,12.0,11.0,12.0,3.0
2,11.0,11.0,12.0,10.0,10.0,2.0
1,10.0,11.0,12.0,12.0,11.0,3.0
1,10.0,11.0,10.0,6.0,11.0,3.0
1,10.0,12.0,10.0,10.0,11.0,1.0
2,9.0,12.0,10.0,8.0,9.0,3.0
2,9.0,12.0,10.0,7.0,10.0,3.0
2,10.0,11.0,10.0,6.0,10.0,2.0
2,10.0,12.0,9.0,7.0,13.0,3.0
3,11.0,12.0,11.0,11.0,10.0,4.0
5,10.0,11.0,11.0,5.0,11.0,1.0
3,10.0,13.0,11.0,11.0,12.0,2.0
4,10.0,11.0,10.0,12.0,12.0,3.0
4,10.0,12.0,11.0,13.0,10.0,2.0
5,11.0,12.0,11.0,12.0,10.0,3.0
5,11.0,11.0,11.0,13.0,12.0,2.0
4,10.0,13.0,10.0,11.0,11.0,2.0
3,10.0,12.0,10.0,12.0,11.0,3.0
3,11.0,12.0,11.0,11.0,10.0,5.0
3,11.0,12.0,10.0,13.0,11.0,3.0
3,10.0,11.0,10.0,12.0,11.0,3.0
3,11.0,11.0,10.0,12.0,10.0,6.0
6,11.0,12.0,10.0,12.0,10.0,5.0
5,10.0,11.0,11.0,10.0,13.0,8.0
6,10.0,12.0,10.0,11.0,12.0,7.0
6,10.0,12.0,10.0,13.0,13.0,3.0
6,10.0,11.0,10.0,12.0,11.0,5.0
7,11.0,11.0,10.0,11.0,11.0,6.0
6,11.0,11.0,11.0,12.0,10.0,10.0
7,10.0,11.0,10.0,11.0,11.0,7.0
7,9.0,12.0,10.0,9.0,12.0,7.0
7,10.0,13.0,8.0,13.0,9.0,6.0
7,11.0,12.0,9.0,13.0,9.0,8.0
1,11.0,13.0,9.0,13.0,10.0,9.0
5,10.0,12.0,9.0,13.0,10.0,10.0
4,11.0,12.0,9.0,12.0,10.0,11.0
5,11.0,12.0,8.0,11.0,11.0,11.0
1,11.0,13.0,9.0,10.0,9.0,11.0
1,9.0,13.0,9.0,10.0,10.0,9.0
1,11.0,10.0,10.0,10.0,10.0,7.0
8,11.0,13.0,10.0,10.0,9.0,10.0
8,11.0,13.0,10.0,10.0,11.0,10.0
9,10.0,13.0,10.0,9.0,9.0,9.0
9,11.0,13.0,10.0,10.0,9.0,10.0
8,11.0,11.0,10.0,10.0,10.0,11.0
10,11.0,12.0,11.0,10.0,11.0,12.0
10,11.0,13.0,10.0,9.0,12.0,11.0
10,11.0,13.0,10.0,10.0,10.0,9.0
10,11.0,11.0,10.0,10.0,11.0,8.0
10,10.0,13.0,9.0,10.0,9.0,9.0
10,11.0,13.0,10.0,10.0,11.0,9.0
10,11.0,11.0,9.0,9.0,9.0,10.0
10,10.0,12.0,9.0,10.0,10.0,13.0
9,10.0,12.0,10.0,10.0,10.0,13.0
10,10.0,13.0,8.0,10.0,10.0,13.0
10,11.0,13.0,10.0,10.0,9.0,13.0
10,11.0,13.0,9.0,10.0,12.0,13.0
10,11.0,12.0,9.0,10.0,12.0,12.0
10,10.0,11.0,9.0,10.0,10.0,13.0
10,11.0,12.0,9.0,10.0,9.0,12.0
10,11.0,13.0,10.0,10.0,9.0,12.0
10,11.0,13.0,9.0,10.0,10.0,13.0
10,10.0,14.0,10.0,10.0,10.0,12.0
11,10.0,14.0,10.0,10.0,11.0,13.0
11,9.0,13.0,10.0,10.0,10.0,13.0
11,9.0,13.0,10.0,10.0,9.0,13.0
11,10.0,11.0,10.0,10.0,10.0,11.0
12,11.0,10.0,10.0,10.0,10.0,12.0
13,11.0,13.0,10.0,10.0,9.0,14.0
13,12.0,13.0,10.0,10.0,10.0,13.0
