CQI
7
11
8
9
7
7
9
8
9
8
5
6
3
9
8
8
11
9
11
11
9
9
10
9
8
8
7
4
3
5
3
3
3
3
3
3
4
3
3
3
3
1
3
1
1
1
2
1
1
1
1
2
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
3
3
6
6
4
4
3
3
5
3
3
3
3
3
3
3
3
3
3
5
3
3
3
3
6
4
3
3
3
3
3
2
3
3
3
3
3
3
2
3
5
3
5
4
6
6
6
7
8
8
8
7
8
9
9
9
10
9
10
9
9
8
8
7
7
9
8
7
8
8
6
5
8
9
5
9
8
5
4
4
5
5
6
3
5
5
7
6
5
3
5
3
6
6
8
5
7
7
7
6
5
3
6
8
7
6
5
8
5
5
6
5
5
7
6
7
7
6
7
7
5
6
9
9
9
9
6
9
7
8
9
9
9
9
7
8
10
9
9
9
5
11
6
10
9
10
10
9
9
10
10
9
8
12
10
7
9
7
9
8
9
8
8
7
7
8
5
5
5
3
4
3
3
2
3
2
2
3
3
3
2
2
3
3
2
2
1
1
1
1
1
1
1
1
1
2
1
1
1
3
1
3
3
2
2
3
3
3
3
5
5
6
4
7
3
6
8
5
5
6
7
7
8
9
