,TimeStamp,SNR,RAT
0,1615696864.13,21.605,NR
1,1615696865.391,14.030000000000001,NR
2,1615696865.41,14.030000000000001,NR
3,1615696866.672,11.809999999999999,NR
4,1615696866.69,11.809999999999999,NR
5,1615696867.951,20.229999999999997,NR
6,1615696867.97,20.229999999999997,NR
7,1615696869.232,13.825,NR
8,1615696869.25,13.825,NR
9,1615696870.511,19.09,NR
10,1615696870.53,19.09,NR
11,1615696871.793,25.845,NR
12,1615696871.81,25.845,NR
13,1615696873.071,19.380000000000003,NR
14,1615696873.09,19.380000000000003,NR
15,1615696874.352,18.555,NR
16,1615696874.37,18.555,NR
17,1615696875.631,23.1,NR
18,1615696875.65,23.1,NR
19,1615696876.912,15.15,NR
20,1615696876.93,15.15,NR
21,1615696878.191,13.385,NR
22,1615696878.21,13.385,NR
23,1615696879.472,12.245000000000001,NR
24,1615696879.49,12.245000000000001,NR
25,1615696880.751,9.64,NR
26,1615696880.77,9.64,NR
27,1615696882.032,16.105,NR
28,1615696882.05,16.105,NR
29,1615696883.311,9.379999999999999,NR
30,1615696883.33,9.379999999999999,NR
31,1615696884.592,4.57,NR
32,1615696884.61,4.57,NR
33,1615696885.872,16.045,NR
34,1615696885.89,16.045,NR
35,1615696887.153,13.995000000000001,NR
36,1615696887.17,13.995000000000001,NR
37,1615696888.431,4.77,NR
38,1615696888.45,4.77,NR
39,1615696889.712,-6.715,NR
40,1615696889.73,-6.715,NR
41,1615696890.993,-7.32,NR
42,1615696891.01,-7.32,NR
43,1615696892.3,-8.33,NR
44,1615696892.398,-1.6500000000000001,NR
45,1615696892.478,-1.625,NR
46,1615696892.495,-1.625,NR
47,1615696943.471,12.705,NR
48,1615696943.489,12.705,NR
49,1615696944.664,12.705,NR
50,1615696944.758,12.4875,NR
51,1615696944.827,8.705,NR
52,1615696944.915,9.45,NR
53,1615696944.993,-15.540000000000001,NR
54,1615696945.073,-13.849999999999998,NR
55,1615696945.153,-16.7425,NR
56,1615696945.234,-13.632500000000002,NR
57,1615696945.313,-13.11,NR
58,1615696945.393,-15.392499999999998,NR
59,1615696945.473,-13.495000000000001,NR
60,1615696945.553,-13.8875,NR
61,1615696945.633,-13.64,NR
62,1615696945.713,-11.807499999999997,NR
63,1615696945.794,-15.889999999999999,NR
64,1615696945.873,-12.5975,NR
65,1615696945.953,-13.6075,NR
66,1615696946.033,-12.977500000000001,NR
67,1615696946.113,-13.725,NR
68,1615696946.193,-14.445,NR
69,1615696946.274,-16.295,NR
70,1615696946.353,-14.29,NR
71,1615696946.433,-16.064999999999998,NR
72,1615696946.513,-13.657499999999999,NR
73,1615696946.593,-13.435,NR
74,1615696946.673,-15.05,NR
75,1615696946.753,-13.522499999999999,NR
76,1615696946.833,-12.75,NR
77,1615696946.913,-13.7775,NR
78,1615696946.993,-15.195,NR
79,1615696947.073,-16.7875,NR
80,1615696947.153,-13.245000000000001,NR
81,1615696947.233,-14.56,NR
82,1615696947.313,-15.64,NR
83,1615696947.393,-15.595,NR
84,1615696947.473,-13.1275,NR
85,1615696947.553,-14.985,NR
86,1615696947.562,-14.985,NR
87,1615696947.584,-14.985,NR
88,1615696947.673,6.265000000000001,NR
89,1615696947.753,5.047499999999999,NR
90,1615696947.833,-1.075,NR
91,1615696947.913,-1.165,NR
92,1615696947.993,1.5399999999999998,NR
93,1615696948.073,1.37,NR
94,1615696948.153,5.130000000000001,NR
95,1615696948.233,5.29,NR
96,1615696948.313,9.3625,NR
97,1615696948.393,6.08,NR
98,1615696948.473,7.157500000000001,NR
99,1615696948.553,8.469999999999999,NR
100,1615696948.633,7.842500000000001,NR
101,1615696948.713,7.397500000000001,NR
102,1615696948.793,12.122500000000002,NR
103,1615696948.873,3.1875,NR
104,1615696948.953,10.302499999999998,NR
105,1615696949.033,8.225,NR
106,1615696949.113,8.2925,NR
107,1615696949.193,9.202499999999999,NR
108,1615696949.273,11.0975,NR
109,1615696949.353,7.455,NR
110,1615696949.433,10.127500000000001,NR
111,1615696949.513,3.6975,NR
112,1615696949.593,3.5824999999999996,NR
113,1615696949.673,5.727499999999999,NR
114,1615696949.753,5.525,NR
115,1615696949.833,7.135,NR
116,1615696949.913,5.3175,NR
117,1615696949.993,6.575,NR
118,1615696950.073,3.7225,NR
119,1615696950.153,2.785,NR
120,1615696950.233,1.87,NR
121,1615696950.313,3.0675000000000003,NR
122,1615696950.393,6.185,NR
123,1615696950.473,3.2099999999999995,NR
124,1615696950.553,5.5625,NR
125,1615696950.633,4.02,NR
126,1615696950.713,8.6975,NR
127,1615696950.793,7.92,NR
128,1615696950.873,5.7375,NR
129,1615696950.953,2.0425000000000004,NR
130,1615696951.033,6.197500000000001,NR
131,1615696951.113,8.8375,NR
132,1615696951.193,1.6575000000000002,NR
133,1615696951.273,9.2625,NR
134,1615696951.353,8.8,NR
135,1615696951.433,1.7699999999999998,NR
136,1615696951.513,3.7224999999999997,NR
137,1615696951.593,3.0300000000000002,NR
138,1615696951.673,3.075,NR
139,1615696951.753,1.875,NR
140,1615696951.833,2.7725,NR
141,1615696951.913,5.21,NR
142,1615696951.993,2.6875,NR
143,1615696952.073,1.2925000000000002,NR
144,1615696952.153,4.385,NR
145,1615696952.233,5.4825,NR
146,1615696952.313,3.8550000000000004,NR
147,1615696952.393,1.9775,NR
148,1615696952.473,-0.2999999999999998,NR
149,1615696952.553,1.8475,NR
150,1615696952.633,1.6075,NR
151,1615696952.712,3.4725,NR
152,1615696952.793,1.365,NR
153,1615696952.873,2.7824999999999998,NR
154,1615696952.952,3.0324999999999998,NR
155,1615696953.033,1.3499999999999999,NR
156,1615696953.113,2.3225,NR
157,1615696953.193,3.5025000000000004,NR
158,1615696953.273,3.4975000000000005,NR
159,1615696953.352,4.05,NR
160,1615696953.433,3.705,NR
161,1615696953.513,4.32,NR
162,1615696953.592,2.9699999999999998,NR
163,1615696953.673,2.3674999999999997,NR
164,1615696953.752,0.83,NR
165,1615696953.833,2.4175,NR
166,1615696953.912,2.9749999999999996,NR
167,1615696953.992,3.835,NR
168,1615696954.073,3.9325,NR
169,1615696954.153,3.705,NR
170,1615696954.233,6.529999999999999,NR
171,1615696954.313,7.289999999999999,NR
172,1615696954.393,8.3425,NR
173,1615696954.473,5.225,NR
174,1615696954.552,4.7775,NR
175,1615696954.632,3.935,NR
176,1615696954.712,4.155,NR
177,1615696954.792,3.5900000000000003,NR
178,1615696954.872,6.6575,NR
179,1615696954.953,6.4575000000000005,NR
180,1615696955.032,4.172499999999999,NR
181,1615696955.112,8.2225,NR
182,1615696955.192,12.209999999999999,NR
