RDB0,RDB1,RDB2,RDB3,RDB4,RDB5,RDB6
11.0,7.0,1.0,8.0,3,11.0,7.0
8.0,6.0,1.0,6.0,3,12.0,6.0
10.0,6.0,1.0,7.0,3,12.0,7.0
11.0,6.0,1.0,6.0,2,9.0,6.0
11.0,5.0,1.0,7.0,2,13.0,6.0
8.0,5.0,1.0,8.0,2,11.0,6.0
10.0,7.0,1.0,8.0,2,11.0,7.0
10.0,7.0,1.0,8.0,1,11.0,6.0
10.0,7.0,1.0,9.0,2,9.0,7.0
10.0,7.0,1.0,9.0,1,9.0,6.0
10.0,6.0,1.0,10.0,1,11.0,6.0
12.0,6.0,1.0,9.0,1,11.0,7.0
10.0,7.0,1.0,9.0,1,10.0,6.0
11.0,7.0,1.0,10.0,1,10.0,6.0
9.0,7.0,1.0,10.0,1,10.0,7.0
11.0,6.0,1.0,10.0,1,10.0,7.0
10.0,5.0,1.0,10.0,1,10.0,7.0
9.0,6.0,1.0,9.0,1,10.0,6.0
9.0,6.0,1.0,10.0,1,11.0,5.0
9.0,6.0,1.0,8.0,1,11.0,6.0
9.0,7.0,1.0,5.0,1,7.0,6.0
8.0,5.0,6.0,5.0,1,8.0,6.0
7.0,6.0,6.0,6.0,1,11.0,7.0
8.0,5.0,6.0,6.0,1,10.0,6.0
10.0,7.0,5.0,6.0,1,11.0,6.0
10.0,6.0,3.0,8.0,13,12.0,6.0
11.0,7.0,3.0,8.0,13,10.0,7.0
11.0,9.0,3.0,8.0,14,12.0,7.0
12.0,8.0,3.0,7.0,14,13.0,7.0
11.0,7.0,3.0,8.0,13,9.0,7.0
12.0,9.0,3.0,8.0,13,11.0,7.0
11.0,9.0,3.0,9.0,14,10.0,6.0
12.0,8.0,3.0,10.0,14,7.0,7.0
12.0,10.0,5.0,10.0,14,8.0,7.0
12.0,10.0,4.0,10.0,14,7.0,6.0
12.0,10.0,4.0,10.0,13,6.0,7.0
13.0,10.0,5.0,10.0,14,9.0,8.0
13.0,10.0,5.0,8.0,14,10.0,6.0
12.0,7.0,5.0,8.0,14,12.0,10.0
12.0,8.0,5.0,8.0,14,13.0,6.0
11.0,9.0,5.0,9.0,14,12.0,5.0
11.0,10.0,6.0,8.0,14,12.0,3.0
12.0,8.0,5.0,8.0,14,10.0,3.0
13.0,9.0,4.0,9.0,14,10.0,3.0
13.0,10.0,5.0,9.0,14,12.0,5.0
13.0,9.0,5.0,9.0,14,10.0,6.0
13.0,9.0,5.0,9.0,14,11.0,7.0
13.0,7.0,6.0,7.0,14,11.0,7.0
,7.0,5.0,6.0,14,10.0,9.0
,7.0,6.0,6.0,14,9.0,10.0
,6.0,6.0,6.0,14,11.0,10.0
,6.0,5.0,6.0,12,9.0,1.0
,6.0,5.0,6.0,12,11.0,5.0
,6.0,5.0,5.0,11,10.0,5.0
,6.0,3.0,5.0,12,11.0,5.0
,6.0,3.0,6.0,11,10.0,9.0
,5.0,5.0,6.0,11,13.0,8.0
,5.0,3.0,5.0,11,10.0,8.0
,5.0,4.0,6.0,11,10.0,7.0
,5.0,5.0,7.0,13,12.0,7.0
,5.0,5.0,7.0,11,11.0,6.0
,5.0,5.0,7.0,9,10.0,7.0
,5.0,5.0,7.0,9,10.0,7.0
,5.0,3.0,6.0,8,10.0,7.0
,5.0,4.0,6.0,8,13.0,8.0
,5.0,3.0,7.0,8,11.0,8.0
,5.0,3.0,7.0,10,10.0,8.0
,5.0,5.0,5.0,13,11.0,8.0
