RGB0,RGB1,RGB2,RGB3,RGB4,RGB5,RGB6
13,9,12,11,10,9,13
10,7,7,7,7,11,7
8,13,8,12,9,13,7
13,12,8,9,10,14,11
12,10,10,11,10,12,12
6,9,8,7,9,10,7
8,13,11,9,7,11,11
13,12,10,10,10,8,7
12,9,13,10,8,9,9
13,12,7,12,7,8,11
9,12,8,10,8,13,10
10,12,13,13,9,14,13
8,11,7,13,11,9,11
13,8,13,12,10,8,13
11,6,8,6,9,12,11
9,12,14,13,11,9,9
12,10,10,9,7,13,9
10,6,10,12,6,11,8
11,7,6,11,9,12,7
10,6,11,9,9,9,9
9,6,7,8,12,9,12
5,6,9,11,11,9,5
4,10,8,9,6,6,6
10,5,7,6,8,11,9
12,7,9,9,10,12,11
13,9,7,8,12,12,9
11,9,12,8,14,14,9
8,11,9,12,14,9,14
9,10,15,12,13,15,10
12,12,12,11,9,13,8
11,13,10,13,10,12,15
8,13,8,14,8,14,12
9,11,14,13,9,15,13
11,15,12,12,10,13,11
13,11,12,11,15,9,13
15,11,13,9,11,11,14
15,10,15,12,12,15,12
15,10,14,13,15,12,12
12,14,11,12,9,14,12
11,15,9,15,13,12,9
14,10,12,11,9,8,13
8,14,12,10,13,9,11
12,10,13,15,9,12,13
12,12,14,14,13,11,15
11,14,11,15,12,14,14
15,11,14,12,14,10,15
15,15,13,13,14,11,10
11,11,12,14,14,14,15
